Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R2_val_2	77.60383077262175	10.012214050381873	3.6435121381844633	2.036257213337783	1.247673911892876	0.8011457694636308	0.5827117387251594	0.4091817830311823	0.3429187699491564	2.6898741455777855	0.47652788761010767	0.11509768494534463	0.0	0.03905413427884819	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R1	67.93067888440315	14.309704030751485	6.119546731870819	3.2428196463133863	1.9989110982232228	1.364912099093012	0.9367346268305503	0.707157784364826	0.5403873610723215	2.701463615128362	0.12736412146193932	0.009424808932066667	0.010895191554826862	0.0	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R1_val_1	77.59361497177328	11.704117686769235	4.066248319054049	2.1133857117244683	1.2186031472560481	0.7878679663988138	0.4941330365108373	0.3410230955667209	0.28428966033087316	1.3554308912085076	0.03914532816310162	0.002140185244126062	0.0	0.0	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R2	69.49747159649633	13.796673657492498	5.823274931922692	3.1243822772631176	1.902829776557587	1.2575840043540432	0.8513659524161529	0.6262931787850183	0.4725990985285986	2.4568714234022244	0.12342990172568426	0.011502108957492927	0.011379745505500078	0.04434234659307121	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R2_val_2	78.8387210866973	11.215405153138871	3.947777804951389	1.8357641186676745	1.1197576780018865	0.6829983445346761	0.48259459340395294	0.3135558537600178	0.21932684486369547	1.2682290644798768	0.03201052371218367	0.0043054483672537525	0.0	0.03955348542117338	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R1	68.01849276600944	14.38643431200281	6.1374652627723325	3.3088657182162655	2.004768059123951	1.3301751375209228	0.8522168672545365	0.6163937815575244	0.47090865759892725	2.718728402309987	0.1426800590226947	0.012870976610544645	0.0	0.0	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R1_val_1	77.49252157790859	11.921999811690757	4.063498717414975	2.1196545030921556	1.1173478705335447	0.743644279853953	0.4890273235345293	0.3112938082414459	0.2649346208391769	1.428095595543815	0.043303398051323556	0.004678493295739373	0.0	0.0	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R2	69.29784771464837	14.116239398436015	5.68586054252642	3.2411888731869136	1.9485771292792047	1.253704917955531	0.7833560321372042	0.5763949826700135	0.42415920400304485	2.467648913086333	0.14396753322123002	0.01723225840014881	0.0	0.043822500449601565	0.0	0.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R2_val_2	78.46347186390759	11.699133482394316	3.8359542989812008	1.929743805070602	1.0844019180702642	0.6448534530468458	0.42291895919355843	0.3335288443977588	0.23715622391257193	1.267608496505665	0.03812717679364065	0.004355563664081364	0.0	0.03874591406191512	0.0	0.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R1	69.41301637940886	12.766306709565601	5.44229460218226	3.124658578325132	1.9743286519689411	1.3595530022107787	0.9622938628848335	0.7465332664662525	0.5571024108436835	3.313132879339755	0.27310959712233496	0.0472186528706279	0.0	0.020451406810923306	0.0	0.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R1_val_1	78.24423855003111	10.616301863782363	3.859356695490729	2.006782943714595	1.1507369919485664	0.7737357921133046	0.5831947639719054	0.3994179537443768	0.30551926322389295	1.9242580427875702	0.12064931948374827	0.015807819707828845	0.0	0.0	0.0	0.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R2	70.59597522818063	12.486746314845245	5.310239687570165	2.976850856021605	1.8058460394202513	1.3486032679078412	0.8737884918404668	0.7134566967907271	0.4892581703084306	3.0367647573190477	0.2787512562013552	0.027965640263083257	0.0	0.055753593331158376	0.0	0.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R2_val_2	79.21169213431287	10.333907818344407	3.7138634995553343	1.8477533000069724	1.120275282930174	0.766664397612309	0.4890114946765869	0.4119983095659025	0.26671445213156963	1.699681695065567	0.10305181167165854	0.0058664619919531116	0.0	0.029519342134694787	0.0	0.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R1	69.39939265001895	12.686205923629885	5.56806006256797	3.10552504888326	1.9460836090117741	1.3218800302401268	0.9108329977695584	0.7466522740966615	0.5298598031198427	3.3838575633106633	0.337342048596603	0.0498834066460957	0.0	0.014424582108593707	0.0	0.0
