NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
MBTPS1	1	MBTPS1
MBTPS2	1	MBTPS2
MC1R	1	MC1R
MCAM	1	MCAM
MCAT	1	MCAT
MCC	1	MCC
MCCC1	1	MCCC1
MCCC2	1	MCCC2
MCEE	1	MCEE
MCF2	1	MCF2
MCF2L	1	MCF2L
MCF2L2	1	MCF2L2
MCFD2	1	MCFD2
MCL1	1	MCL1
MCM10	1	MCM10
MCM2	1	MCM2
MCM3	1	MCM3
MCM3AP	1	MCM3AP
MCM3AP-AS1	1	MCM3AP-AS1
MCM4	1	MCM4
MCM5	1	MCM5
MCM6	1	MCM6
MCM7	1	MCM7
MCM8	1	MCM8
MCM9	1	MCM9
MCMBP	1	MCMBP
MCMDC2	1	MCMDC2
MCOLN1	1	MCOLN1
MCOLN2	1	MCOLN2
MCOLN3	1	MCOLN3
MCPH1	1	MCPH1
MCPH1-AS1	1	MCPH1-AS1
MCPH1-DT	1	LOC100287015
MCRIP1	1	MCRIP1
MCRIP2	1	MCRIP2
MCRS1	1	MCRS1
MCTP1	1	MCTP1
MCTP2	1	MCTP2
MCTS1	1	MCTS1
MCU	1	MCU
MCUB	1	MCUB
MCUR1	1	MCUR1
MDC1	1	MDC1
MDC1-AS1	1	MDC1-AS1
MDFIC	1	MDFIC
MDGA1	1	MDGA1
MDH1	1	MDH1
MDH1B	1	MDH1B
MDH2	1	MDH2
MDK	1	MDK
MDM1	1	MDM1
MDM2	1	MDM2
MDM4	1	MDM4
MDN1	1	MDN1
MDN1-AS1	1	LOC101929057
MDP1	1	MDP1
ME1	1	ME1
ME2	1	ME2
ME3	1	ME3
MEA1	1	MEA1
MEAF6	1	MEAF6
MEAK7	1	TLDC1
MECOM	1	MECOM
MECP2	1	MECP2
MECR	1	MECR
MED1	1	MED1
MED10	1	MED10
MED11	1	MED11
MED12	1	MED12
MED12L	1	MED12L
MED13	1	MED13
MED13L	1	MED13L
MED14	1	MED14
MED14OS	1	MED14OS
MED15	1	MED15
MED16	1	MED16
MED17	1	MED17
MED18	1	MED18
MED19	1	MED19
MED20	1	MED20
MED21	1	MED21
MED22	1	MED22
MED23	1	MED23
MED24	1	MED24
MED25	1	MED25
MED26	1	MED26
MED27	1	MED27
MED28	1	MED28
MED29	1	MED29
MED30	1	MED30
MED31	1	MED31
MED4	1	MED4
MED4-AS1	1	MED4-AS1
MED6	1	MED6
MED7	1	MED7
MED8	1	MED8
MED9	1	MED9
MEDAG	1	MEDAG
MEF2A	1	MEF2A
MEF2C	1	MEF2C
MEF2C-AS1	1	MEF2C-AS1
MEF2D	1	MEF2D
MEG3	1	MEG3
MEG8	1	MEG8
MEG9	1	MEG9
MEGF6	1	MEGF6
MEGF8	1	MEGF8
MEGF9	1	MEGF9
MEI1	1	MEI1
MEIG1	1	MEIG1
MEIS1	1	MEIS1
MEIS1-AS3	1	MEIS1-AS3
MEIS2	1	MEIS2
MEIS3	1	MEIS3
MEIS3P1	1	MEIS3P1
MELK	1	MELK
MELTF	1	MELTF
MELTF-AS1	1	MELTF-AS1
MEMO1	1	MEMO1
MEN1	1	MEN1
MEOX2	1	MEOX2
MERTK	1	MERTK
MESD	1	MESD
MESP1	1	MESP1
MESP2	1	MESP2
MESTIT1	1	MESTIT1
MET	1	MET
METAP1	1	METAP1
METAP1D	1	METAP1D
METRN	1	METRN
METRNL	1	METRNL
METTL1	1	METTL1
METTL13	1	METTL13
METTL14	1	METTL14
METTL15	1	METTL15
METTL16	1	METTL16
METTL17	1	METTL17
METTL18	1	METTL18
METTL21EP	1	METTL21EP
METTL22	1	METTL22
METTL23	1	METTL23
METTL25	1	METTL25
METTL25B	1	RRNAD1
METTL26	1	METTL26
METTL27	1	METTL27
METTL2A	1	METTL2A
METTL2B	1	METTL2B
METTL3	1	METTL3
METTL4	1	METTL4
METTL5	1	METTL5
METTL6	1	METTL6
METTL7A	1	METTL7A
METTL7B	1	METTL7B
METTL8	1	METTL8
METTL9	1	METTL9
MEX3A	1	MEX3A
MEX3B	1	MEX3B
MEX3C	1	MEX3C
MEX3D	1	MEX3D
MFAP1	1	MFAP1
MFAP2	1	MFAP2
MFAP3	1	MFAP3
MFAP3L	1	MFAP3L
MFAP4	1	MFAP4
MFAP5	1	MFAP5
MFF	1	MFF
MFF-DT	1	LOC654841
MFGE8	1	MFGE8
MFHAS1	1	MFHAS1
MFN1	1	MFN1
MFN2	1	MFN2
MFSD1	1	MFSD1
MFSD10	1	MFSD10
MFSD11	1	MFSD11
MFSD12	1	MFSD12
MFSD13A	1	MFSD13A
MFSD14A	1	MFSD14A
MFSD14B	1	MFSD14B
MFSD14CP	1	MFSD14C
MFSD2A	1	MFSD2A
MFSD2B	1	MFSD2B
MFSD3	1	MFSD3
MFSD4B	1	MFSD4B
MFSD5	1	MFSD5
MFSD6	1	MFSD6
MFSD8	1	MFSD8
MFSD9	1	MFSD9
MGA	1	MGA
MGAM	1	MGAM
MGARP	1	MGARP
MGAT1	1	MGAT1
MGAT2	1	MGAT2
MGAT3	1	MGAT3
MGAT4A	1	MGAT4A
MGAT4B	1	MGAT4B
MGAT5	1	MGAT5
MGC16275	1	MGC16275
MGLL	1	MGLL
MGME1	1	MGME1
MGMT	1	MGMT
MGP	1	MGP
MGRN1	1	MGRN1
MGST1	1	MGST1
MGST2	1	MGST2
MGST3	1	MGST3
MHENCR	1	MHENCR
MIA2	1	MIA2
MIA2-AS1	1	LOC100288846
MIA3	1	MIA3
MIAT	1	MIAT
MIATNB	1	MIATNB
MIB1	1	MIB1
MIB2	1	MIB2
MICA	1	MICA
MICAL1	1	MICAL1
MICAL3	1	MICAL3
MICALL1	1	MICALL1
MICALL2	1	MICALL2
MICB	1	MICB
MICB-DT	1	MICB-DT
MICOS10	1	MINOS1
MICOS13	1	C19orf70
MICU1	1	MICU1
MICU2	1	MICU2
MICU3	1	MICU3
MID1	1	MID1
MID1IP1	1	MID1IP1
MID1IP1-AS1	1	MID1IP1-AS1
MID2	1	MID2
MIDEAS	1	ELMSAN1
MIDEAS-AS1	1	LOC100506476
MIDN	1	MIDN
MIEF2	1	MIEF2
MIEN1	1	MIEN1
MIER1	1	MIER1
MIER2	1	MIER2
MIER3	1	MIER3
MIF	1	MIF
MIF-AS1	1	MIF-AS1
MIF4GD	1	MIF4GD
MIF4GD-DT	1	LOC100287042
MIGA1	1	MIGA1
MIGA2	1	MIGA2
MIIP	1	MIIP
MILIP	1	MAFG-DT
MILR1	1	MILR1
MINAR1	1	KIAA1024
MINCR	1	MINCR
MINDY1	1	MINDY1
MINDY2	1	MINDY2
MINDY2-DT	1	LOC101928725
MINDY3	1	MINDY3
MINK1	1	MINK1
MINPP1	1	MINPP1
MIOS	1	MIOS
MIOS-DT	1	LOC101927391
MIOX	1	MIOX
MIPEP	1	MIPEP
MIPEPP3	1	MIPEPP3
MIPOL1	1	MIPOL1
MIR100HG	1	MIR100HG
MIR1249	1	MIR1249
MIR125B1	1	MIR125B1
MIR1281	1	MIR1281
MIR1282	1	MIR1282
MIR1304	1	MIR1304
MIR137HG	1	MIR137HG
MIR138-1	1	MIR138-1
MIR145	1	MIR145
MIR155HG	1	MIR155HG
MIR17HG	1	MIR17HG
MIR181A2HG	1	MIR181A2HG
MIR186	1	MIR186
MIR1914	1	MIR1914
MIR1915HG	1	CASC10
MIR193BHG	1	MIR193BHG
MIR199A1	1	MIR199A1
MIR210HG	1	MIR210HG
MIR221	1	MIR221
MIR224	1	MIR224
MIR22HG	1	MIR22HG
MIR23A	1	MIR23A
MIR23AHG	1	LOC284454
MIR23B	1	MIR23B
MIR24-1	1	MIR24-1
MIR25	1	MIR25
MIR27B	1	MIR27B
MIR29B2CHG	1	MIR29B2CHG
MIR302CHG	1	LOC109864269
MIR3064	1	MIR3064
MIR3125	1	MIR3125
MIR3136	1	MIR3136
MIR3142HG	1	MIR3142HG
MIR3153	1	MIR3153
MIR3176	1	MIR3176
MIR3191	1	MIR3191
MIR31HG	1	MIR31HG
MIR339	1	MIR339
MIR34AHG	1	MIR34AHG
MIR3605	1	MIR3605
MIR3654	1	MIR3654
MIR3661	1	MIR3661
MIR3677HG	1	LOC106660606
MIR3682	1	MIR3682
MIR369	1	MIR369
MIR374B	1	MIR374B
MIR3911	1	MIR3911
MIR3916	1	MIR3916
MIR3936HG	1	MIR3936HG
MIR410	1	MIR410
MIR421	1	MIR421
MIR4257	1	MIR4257
MIR4258	1	MIR4258
MIR4292	1	MIR4292
MIR4426	1	MIR4426
MIR4435-2HG	1	MIR4435-2HG
MIR4442	1	MIR4442
MIR4453HG	1	MIR4453HG
MIR4458HG	1	MIR4458HG
MIR4477B	1	MIR4477B
MIR4517	1	MIR4517
MIR452	1	MIR452
MIR4653	1	MIR4653
MIR4664	1	MIR4664
MIR4691	1	MIR4691
MIR4701	1	MIR4701
MIR4712	1	MIR4712
MIR4728	1	MIR4728
MIR4730	1	MIR4730
MIR4737	1	MIR4737
MIR4782	1	MIR4782
MIR497HG	1	MIR497HG
MIR5010	1	MIR5010
MIR503	1	MIR503
MIR503HG	1	MIR503HG
MIR5047	1	MIR5047
MIR541	1	MIR541
MIR548AR	1	MIR548AR
MIR553	1	MIR553
MIR5581	1	MIR5581
MIR570	1	MIR570
MIR590	1	MIR590
MIR600HG	1	MIR600HG
MIR616	1	MIR616
MIR630	1	MIR630
MIR631	1	MIR631
MIR635	1	MIR635
MIR637	1	MIR637
MIR641	1	MIR641
MIR646HG	1	MIR646HG
MIR647	1	MIR647
MIR656	1	MIR656
MIR659	1	MIR659
MIR661	1	MIR661
MIR6753	1	MIR6753
MIR6757	1	MIR6757
MIR6758	1	MIR6758
MIR6819	1	MIR6819
MIR6832	1	MIR6832
MIR6845	1	MIR6845
MIR6883	1	MIR6883
MIR7-1	1	MIR7-1
MIR7111	1	MIR7111
MIR7161	1	MIR7161
MIR762HG	1	MIR762HG
MIR7847	1	MIR7847
MIR8075	1	MIR8075
MIR8085	1	MIR8085
MIR924HG	1	MIR924HG
MIR99AHG	1	MIR99AHG
MIRLET7BHG	1	MIRLET7BHG
MIRLET7D	1	MIRLET7D
MIS12	1	MIS12
MIS18A	1	MIS18A
MIS18BP1	1	MIS18BP1
MISFA	1	SPTY2D1OS
MISP	1	MISP
MISP3	1	MISP3
MITD1	1	MITD1
MITF	1	MITF
MIX23	1	CCDC58
MKI67	1	MKI67
MKKS	1	MKKS
MKLN1	1	MKLN1
MKLN1-AS	1	MKLN1-AS
MKNK1	1	MKNK1
MKNK2	1	MKNK2
MKRN1	1	MKRN1
MKRN2	1	MKRN2
MKRN3	1	MKRN3
MKRN7P	1	MKRN7P
MKS1	1	MKS1
MKX	1	MKX
MLEC	1	MLEC
MLF1	1	MLF1
MLF2	1	MLF2
MLH1	1	MLH1
MLH3	1	MLH3
MLKL	1	MLKL
MLLT1	1	MLLT1
MLLT10	1	MLLT10
MLLT11	1	MLLT11
MLLT3	1	MLLT3
MLLT6	1	MLLT6
MLPH	1	MLPH
MLST8	1	MLST8
MLX	1	MLX
MLXIP	1	MLXIP
MLXIPL	1	MLXIPL
MLYCD	1	MLYCD
MMAA	1	MMAA
MMAB	1	MMAB
MMACHC	1	MMACHC
MMADHC	1	MMADHC
MMD	1	MMD
MME	1	MME
MMGT1	1	MMGT1
MMP11	1	MMP11
MMP14	1	MMP14
MMP15	1	MMP15
MMP16	1	MMP16
MMP17	1	MMP17
MMP19	1	MMP19
MMP2	1	MMP2
MMP24	1	MMP24
MMP24OS	1	MMP24OS
MMP25-AS1	1	MMP25-AS1
MMP28	1	MMP28
MMP3	1	MMP3
MMRN2	1	MMRN2
MMS19	1	MMS19
MMS22L	1	MMS22L
MMUT	1	MUT
MN1	1	MN1
MND1	1	MND1
MNS1	1	MNS1
MNT	1	MNT
MOAP1	1	MOAP1
MOB1B	1	MOB1B
MOB2	1	MOB2
MOB3A	1	MOB3A
MOB3B	1	MOB3B
MOB3C	1	MOB3C
MOCOS	1	MOCOS
MOCS1	1	MOCS1
MOCS2	1	MOCS2
MOCS2-DT	1	LOC257396
MOCS3	1	MOCS3
MOGS	1	MOGS
MOK	1	MOK
MON1A	1	MON1A
MON1B	1	MON1B
MON2	1	MON2
MORC2	1	MORC2
MORC3	1	MORC3
MORC4	1	MORC4
MORF4L1	1	MORF4L1
MORF4L2	1	MORF4L2
MORF4L2-AS1	1	MORF4L2-AS1
MORN1	1	MORN1
MORN2	1	MORN2
MORN3	1	MORN3
MORN4	1	MORN4
MOSMO	1	MOSMO
MOSPD1	1	MOSPD1
MOSPD2	1	MOSPD2
MOSPD3	1	MOSPD3
MOV10	1	MOV10
MOXD1	1	MOXD1
MPC1	1	MPC1
MPC2	1	MPC2
MPDU1	1	MPDU1
MPDZ	1	MPDZ
MPG	1	MPG
MPHOSPH10	1	MPHOSPH10
MPHOSPH6	1	MPHOSPH6
MPHOSPH8	1	MPHOSPH8
MPHOSPH9	1	MPHOSPH9
MPI	1	MPI
MPL	1	MPL
MPND	1	MPND
MPP1	1	MPP1
MPP2	1	MPP2
MPP3	1	MPP3
MPP4	1	MPP4
MPP7	1	MPP7
MPPE1	1	MPPE1
MPRIP	1	MPRIP
MPST	1	MPST
MPV17	1	MPV17
MPV17L	1	MPV17L
MPV17L2	1	MPV17L2
MPZ	1	MPZ
MPZL1	1	MPZL1
MPZL3	1	MPZL3
MR1	1	MR1
MRAP2	1	MRAP2
MRAS	1	MRAS
MRC2	1	MRC2
MRE11	1	MRE11
MREG	1	MREG
MRFAP1	1	MRFAP1
MRFAP1L1	1	MRFAP1L1
MRFAP1P1	1	LOC105373383
MRGBP	1	MRGBP
MRGPRF	1	MRGPRF
MRGPRF-AS1	1	MRGPRF-AS1
MRI1	1	MRI1
MRM1	1	MRM1
MRM2	1	MRM2
MRM3	1	MRM3
MRNIP	1	MRNIP
MRNIP-DT	1	LOC100996419
MRO	1	MRO
MROH1	1	MROH1
MROH6	1	MROH6
MROH8	1	MROH8
MROH9	1	MROH9
MRPL1	1	MRPL1
MRPL10	1	MRPL10
MRPL11	1	MRPL11
MRPL12	1	MRPL12
MRPL13	1	MRPL13
MRPL14	1	MRPL14
MRPL15	1	MRPL15
MRPL17	1	MRPL17
MRPL18	1	MRPL18
MRPL19	1	MRPL19
MRPL2	1	MRPL2
MRPL20	1	MRPL20
MRPL20-AS1	1	LOC148413
MRPL21	1	MRPL21
MRPL22	1	MRPL22
MRPL23	1	MRPL23
MRPL24	1	MRPL24
MRPL27	1	MRPL27
MRPL28	1	MRPL28
MRPL3	1	MRPL3
MRPL30	1	MRPL30
MRPL32	1	MRPL32
MRPL33	1	MRPL33
MRPL34	1	MRPL34
MRPL35	1	MRPL35
MRPL36	1	MRPL36
MRPL37	1	MRPL37
MRPL38	1	MRPL38
MRPL39	1	MRPL39
MRPL4	1	MRPL4
MRPL40	1	MRPL40
MRPL41	1	MRPL41
MRPL42	1	MRPL42
MRPL43	1	MRPL43
MRPL45	1	MRPL45
MRPL45P2	1	MRPL45P2
MRPL46	1	MRPL46
MRPL47	1	MRPL47
MRPL48	1	MRPL48
MRPL49	1	MRPL49
MRPL50	1	MRPL50
MRPL51	1	MRPL51
MRPL52	1	MRPL52
MRPL53	1	MRPL53
MRPL54	1	MRPL54
MRPL55	1	MRPL55
MRPL57	1	MRPL57
MRPL9	1	MRPL9
MRPS10	1	MRPS10
MRPS11	1	MRPS11
MRPS12	1	MRPS12
MRPS14	1	MRPS14
MRPS15	1	MRPS15
MRPS16	1	MRPS16
MRPS17	1	MRPS17
MRPS18A	1	MRPS18A
MRPS18B	1	MRPS18B
MRPS18C	1	MRPS18C
MRPS2	1	MRPS2
MRPS21	1	MRPS21
MRPS22	1	MRPS22
MRPS23	1	MRPS23
MRPS25	1	MRPS25
MRPS26	1	MRPS26
MRPS27	1	MRPS27
MRPS28	1	MRPS28
MRPS30	1	MRPS30
MRPS30-DT	1	MRPS30-DT
MRPS31	1	MRPS31
MRPS31P5	1	MRPS31P5
MRPS33	1	MRPS33
MRPS34	1	MRPS34
MRPS35	1	MRPS35
MRPS36	1	MRPS36
MRPS5	1	MRPS5
MRPS6	1	MRPS6
MRPS7	1	MRPS7
MRPS9	1	MRPS9
MRRF	1	MRRF
MRS2	1	MRS2
MRTFA	1	MRTFA
MRTFB	1	MRTFB
MRTO4	1	MRTO4
MSANTD1	1	MSANTD1
MSANTD2	1	MSANTD2
MSANTD2-AS1	1	LOC100507283
MSANTD3	1	MSANTD3
MSANTD4	1	MSANTD4
MSC	1	MSC
MSC-AS1	1	MSC-AS1
MSH2	1	MSH2
MSH3	1	MSH3
MSH4	1	MSH4
MSH5-SAPCD1	1	MSH5-SAPCD1
MSH6	1	MSH6
MSI2	1	MSI2
MSL1	1	MSL1
MSL2	1	MSL2
MSL3	1	MSL3
MSL3P1	1	MSL3P1
MSMO1	1	MSMO1
MSN	1	MSN
MSR1	1	MSR1
MSRA	1	MSRA
MSRB1	1	MSRB1
MSRB2	1	MSRB2
MSRB3	1	MSRB3
MSS51	1	MSS51
MST1	1	MST1
MST1L	1	MST1L
MST1P2	1	MST1P2
MST1R	1	MST1R
MSTN	1	MSTN
MSTO1	1	MSTO1
MSTO2P	1	MSTO2P
MSX1	1	MSX1
MSX2	1	MSX2
MT1A	1	MT1A
MT1E	1	MT1E
MT1F	1	MT1F
MT1L	1	MT1L
MT1M	1	MT1M
MT1X	1	MT1X
MT2A	1	MT2A
MTA1	1	MTA1
MTA1-DT	1	LOC100507437
MTA2	1	MTA2
MTA3	1	MTA3
MTBP	1	MTBP
MTCH1	1	MTCH1
MTCH2	1	MTCH2
MTCL1	1	MTCL1
MTCP1	1	MTCP1
MTDH	1	MTDH
MTERF1	1	MTERF1
MTERF2	1	MTERF2
MTERF3	1	MTERF3
MTERF4	1	MTERF4
MTF1	1	MTF1
MTF2	1	MTF2
MTFMT	1	MTFMT
MTFP1	1	MTFP1
MTFR1	1	MTFR1
MTFR1L	1	MTFR1L
MTFR2	1	MTFR2
MTG1	1	MTG1
MTG2	1	MTG2
MTHFD1	1	MTHFD1
MTHFD1L	1	MTHFD1L
MTHFD2	1	MTHFD2
MTHFD2L	1	MTHFD2L
MTHFR	1	MTHFR
MTHFS	1	MTHFS
MTHFSD	1	MTHFSD
MTIF2	1	MTIF2
MTIF3	1	MTIF3
MTLN	1	MTLN
MTM1	1	MTM1
MTMR1	1	MTMR1
MTMR10	1	MTMR10
MTMR11	1	MTMR11
MTMR12	1	MTMR12
MTMR14	1	MTMR14
MTMR2	1	MTMR2
MTMR3	1	MTMR3
MTMR4	1	MTMR4
MTMR6	1	MTMR6
MTMR9LP	1	MTMR9LP
MTO1	1	MTO1
MTOR	1	MTOR
MTPAP	1	MTPAP
MTR	1	MTR
MTRES1	1	C6orf203
MTREX	1	MTREX
MTRF1	1	MTRF1
MTRF1L	1	MTRF1L
MTRFR	1	C12orf65
MTRR	1	MTRR
MTSS1	1	MTSS1
MTSS2	1	MTSS1L
MTURN	1	MTURN
MTUS1	1	MTUS1
MTUS2	1	MTUS2
MTX1	1	MTX1
MTX2	1	MTX2
MTX3	1	MTX3
MUC1	1	MUC1
MUC20	1	MUC20
MUL1	1	MUL1
MUS81	1	MUS81
MUSK	1	MUSK
MUSTN1	1	MUSTN1
MUTYH	1	MUTYH
MVB12A	1	MVB12A
MVB12B	1	MVB12B
MVD	1	MVD
MVK	1	MVK
MVP	1	MVP
MX1	1	MX1
MX2	1	MX2
MXD1	1	MXD1
MXD3	1	MXD3
MXD4	1	MXD4
MXI1	1	MXI1
MXRA5	1	MXRA5
MXRA7	1	MXRA7
MXRA8	1	MXRA8
MYADM	1	MYADM
MYBBP1A	1	MYBBP1A
MYBL1	1	MYBL1
MYBL2	1	MYBL2
MYBPH	1	MYBPH
MYC	1	MYC
MYCBP2	1	MYCBP2
MYCBP2-AS1	1	MYCBP2-AS1
MYCBPAP	1	MYCBPAP
MYD88	1	MYD88
MYDGF	1	MYDGF
MYEF2	1	MYEF2
MYG1	1	C12orf10
MYH10	1	MYH10
MYH11	1	MYH11
MYH15	1	MYH15
MYH2	1	MYH2
MYH3	1	MYH3
MYH7B	1	MYH7B
MYH9	1	MYH9
MYHAS	1	MYHAS
MYL12-AS1	1	LOC104968399
MYL12A	1	MYL12A
MYL12B	1	MYL12B
MYL3	1	MYL3
MYL5	1	MYL5
MYL6	1	MYL6
MYL6B	1	MYL6B
MYL9	1	MYL9
MYLIP	1	MYLIP
MYLK	1	MYLK
MYLK-AS1	1	MYLK-AS1
MYLK3	1	MYLK3
MYLK4	1	MYLK4
MYNN	1	MYNN
MYO10	1	MYO10
MYO15A	1	MYO15A
MYO15B	1	MYO15B
MYO16-AS1	1	MYO16-AS1
MYO19	1	MYO19
MYO1B	1	MYO1B
MYO1C	1	MYO1C
MYO1D	1	MYO1D
MYO1E	1	MYO1E
MYO1F	1	MYO1F
MYO5A	1	MYO5A
MYO5B	1	MYO5B
MYO5C	1	MYO5C
MYO6	1	MYO6
MYO7B	1	MYO7B
MYO9A	1	MYO9A
MYO9B	1	MYO9B
MYOC	1	MYOC
MYOF	1	MYOF
MYOM1	1	MYOM1
MYOM2	1	MYOM2
MYORG	1	MYORG
MYOSLID	1	MYOSLID
MYOZ1	1	MYOZ1
MYOZ3	1	MYOZ3
MYPN	1	MYPN
MYPOP	1	MYPOP
MYRF	1	MYRF
MYSM1	1	MYSM1
MZF1	1	MZF1
MZF1-AS1	1	MZF1-AS1
MZT1	1	MZT1
MZT2A	1	MZT2A
MZT2B	1	MZT2B
N4BP1	1	N4BP1
N4BP2	1	N4BP2
N4BP2L1	1	N4BP2L1
N4BP2L2	1	N4BP2L2
N4BP2L2-IT2	1	N4BP2L2-IT2
N6AMT1	1	N6AMT1
NAA10	1	NAA10
NAA15	1	NAA15
NAA16	1	NAA16
NAA20	1	NAA20
NAA25	1	NAA25
NAA30	1	NAA30
NAA35	1	NAA35
NAA38	1	NAA38
NAA40	1	NAA40
NAA50	1	NAA50
NAA60	1	NAA60
NAA80	1	NAA80
NAAA	1	NAAA
NAALAD2	1	NAALAD2
NAALADL1	1	NAALADL1
NAALADL2	1	NAALADL2
NAB1	1	NAB1
NAB2	1	NAB2
NABP2	1	NABP2
NACA	1	NACA
NACAD	1	NACAD
NACC1	1	NACC1
NACC2	1	NACC2
NADK	1	NADK
NADK2	1	NADK2
NAE1	1	NAE1
NAF1	1	NAF1
NAGA	1	NAGA
NAGK	1	NAGK
NAGLU	1	NAGLU
NAGPA	1	NAGPA
NAGS	1	NAGS
NAIF1	1	NAIF1
NAIP	1	NAIP
NALCN	1	NALCN
NALF1	1	FAM155A
NALT1	1	NALT1
NAMPT	1	NAMPT
NANOS1	1	NANOS1
NANP	1	NANP
NANS	1	NANS
NAP1L1	1	NAP1L1
NAP1L2	1	NAP1L2
NAP1L3	1	NAP1L3
NAP1L4	1	NAP1L4
NAP1L5	1	NAP1L5
NAPA	1	NAPA
NAPA-AS1	1	NAPA-AS1
NAPB	1	NAPB
NAPEPLD	1	NAPEPLD
NAPG	1	NAPG
NAPRT	1	NAPRT
NAPSA	1	NAPSA
NARF	1	NARF
NARS1	1	NARS
NARS2	1	NARS2
NASP	1	NASP
NAT1	1	NAT1
NAT10	1	NAT10
NAT14	1	NAT14
NAT8L	1	NAT8L
NAT9	1	NAT9
NATD1	1	NATD1
NAV1	1	NAV1
NAV2	1	NAV2
NAV2-AS2	1	NAV2-AS2
NAV2-AS6	1	LOC100126784
NAV3	1	NAV3
NAXD	1	NAXD
NAXE	1	NAXE
NBAS	1	NBAS
NBDY	1	NBDY
NBEA	1	NBEA
NBEAL1	1	NBEAL1
NBL1	1	NBL1
NBN	1	NBN
NBPF1	1	NBPF1
NBPF10	1	NBPF10
NBPF11	1	NBPF11
NBPF12	1	NBPF12
NBPF15	1	NBPF15
NBPF19	1	NBPF19
NBPF25P	1	NBPF25P
NBPF26	1	NBPF26
NBPF3	1	NBPF3
NBPF8	1	NBPF8
NBPF9	1	NBPF9
NBR1	1	NBR1
NBR2	1	NBR2
NCALD	1	NCALD
NCAM1	1	NCAM1
NCAM2	1	NCAM2
NCAPD2	1	NCAPD2
NCAPD3	1	NCAPD3
NCAPG	1	NCAPG
NCAPG2	1	NCAPG2
NCAPH	1	NCAPH
NCAPH2	1	NCAPH2
NCBP1	1	NCBP1
NCBP2	1	NCBP2
NCBP2AS2	1	NCBP2-AS2
NCBP3	1	NCBP3
NCDN	1	NCDN
NCEH1	1	NCEH1
NCF2	1	NCF2
NCK1	1	NCK1
NCK1-DT	1	NCK1-DT
NCK2	1	NCK2
NCKAP1	1	NCKAP1
NCKAP5	1	NCKAP5
NCKAP5L	1	NCKAP5L
NCKIPSD	1	NCKIPSD
NCL	1	NCL
NCLN	1	NCLN
NCOA1	1	NCOA1
NCOA2	1	NCOA2
NCOA3	1	NCOA3
NCOA4	1	NCOA4
NCOA5	1	NCOA5
NCOA6	1	NCOA6
NCOA7	1	NCOA7
NCOR1	1	NCOR1
NCOR2	1	NCOR2
NCR3LG1	1	NCR3LG1
NCS1	1	NCS1
NCSTN	1	NCSTN
NDC1	1	NDC1
NDC80	1	NDC80
NDE1	1	NDE1
NDEL1	1	NDEL1
NDFIP1	1	NDFIP1
NDFIP2	1	NDFIP2
NDN	1	NDN
NDNF	1	NDNF
NDOR1	1	NDOR1
NDRG1	1	NDRG1
NDRG2	1	NDRG2
NDRG3	1	NDRG3
NDRG4	1	NDRG4
NDST1	1	NDST1
NDST2	1	NDST2
NDUFA1	1	NDUFA1
NDUFA10	1	NDUFA10
NDUFA11	1	NDUFA11
NDUFA12	1	NDUFA12
NDUFA13	1	NDUFA13
NDUFA3	1	NDUFA3
NDUFA4	1	NDUFA4
NDUFA4L2	1	NDUFA4L2
NDUFA5	1	NDUFA5
NDUFA6	1	NDUFA6
NDUFA6-DT	1	NDUFA6-DT
NDUFA7	1	NDUFA7
NDUFA8	1	NDUFA8
NDUFAB1	1	NDUFAB1
NDUFAF1	1	NDUFAF1
NDUFAF2	1	NDUFAF2
NDUFAF3	1	NDUFAF3
NDUFAF4	1	NDUFAF4
NDUFAF5	1	NDUFAF5
NDUFAF6	1	NDUFAF6
NDUFAF7	1	NDUFAF7
NDUFAF8	1	NDUFAF8
NDUFB1	1	NDUFB1
NDUFB10	1	NDUFB10
NDUFB11	1	NDUFB11
NDUFB2	1	NDUFB2
NDUFB2-AS1	1	NDUFB2-AS1
NDUFB3	1	NDUFB3
NDUFB4	1	NDUFB4
NDUFB5	1	NDUFB5
NDUFB6	1	NDUFB6
NDUFB7	1	NDUFB7
NDUFB8	1	NDUFB8
NDUFB9	1	NDUFB9
NDUFC1	1	NDUFC1
NDUFC2	1	NDUFC2
NDUFS1	1	NDUFS1
NDUFS3	1	NDUFS3
NDUFS4	1	NDUFS4
NDUFS5	1	NDUFS5
NDUFS6	1	NDUFS6
NDUFS7	1	NDUFS7
NDUFS8	1	NDUFS8
NDUFV1	1	NDUFV1
NDUFV2	1	NDUFV2
NDUFV2-AS1	1	NDUFV2-AS1
NDUFV3	1	NDUFV3
NEAT1	1	NEAT1
NEB	1	NEB
NEBL	1	NEBL
NECAB2	1	NECAB2
NECAB3	1	NECAB3
NECAP1	1	NECAP1
NECAP2	1	NECAP2
NECTIN1	1	NECTIN1
NECTIN2	1	NECTIN2
NECTIN3	1	NECTIN3
NECTIN3-AS1	1	NECTIN3-AS1
NEDD1	1	NEDD1
NEDD4	1	NEDD4
NEDD4L	1	NEDD4L
NEDD8	1	NEDD8
NEDD8-MDP1	1	NEDD8-MDP1
NEDD9	1	NEDD9
NEFH	1	NEFH
NEFM	1	NEFM
NEGR1	1	NEGR1
NEIL1	1	NEIL1
NEIL2	1	NEIL2
NEIL3	1	NEIL3
NEK1	1	NEK1
