NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
ABHD17B	1	ABHD17B
ABHD17C	1	ABHD17C
ABHD18	1	ABHD18
ABHD2	1	ABHD2
ABHD3	1	ABHD3
ABHD4	1	ABHD4
ABHD5	1	ABHD5
ABHD6	1	ABHD6
ABHD8	1	ABHD8
ABI1	1	ABI1
ABI2	1	ABI2
ABI3BP	1	ABI3BP
ABITRAM	1	FAM206A
ABL1	1	ABL1
ABL2	1	ABL2
ABLIM1	1	ABLIM1
ABLIM2	1	ABLIM2
ABLIM3	1	ABLIM3
ABR	1	ABR
ABRACL	1	ABRACL
ABRAXAS1	1	ABRAXAS1
ABRAXAS2	1	ABRAXAS2
ABT1	1	ABT1
ABTB1	1	ABTB1
ABTB2	1	ABTB2
ABTB3	1	BTBD11
ACAA1	1	ACAA1
ACAA2	1	ACAA2
ACACA	1	ACACA
ACACB	1	ACACB
ACAD10	1	ACAD10
ACAD11	1	ACAD11
ACAD8	1	ACAD8
ACAD9	1	ACAD9
ACADL	1	ACADL
ACADM	1	ACADM
ACADS	1	ACADS
ACADSB	1	ACADSB
ACADVL	1	ACADVL
ACAN	1	ACAN
ACAP1	1	ACAP1
ACAP2	1	ACAP2
ACAP3	1	ACAP3
ACAT1	1	ACAT1
ACAT2	1	ACAT2
ACBD3	1	ACBD3
ACBD3-AS1	1	ACBD3-AS1
ACBD5	1	ACBD5
ACBD6	1	ACBD6
ACCS	1	ACCS
ACD	1	ACD
ACE	1	ACE
ACER2	1	ACER2
ACER3	1	ACER3
ACHE	1	ACHE
ACIN1	1	ACIN1
ACKR1	1	ACKR1
ACKR2	1	ACKR2
ACKR3	1	ACKR3
ACKR4	1	ACKR4
ACLY	1	ACLY
ACO1	1	ACO1
ACO2	1	ACO2
ACOT1	1	ACOT1
ACOT11	1	ACOT11
ACOT13	1	ACOT13
ACOT2	1	ACOT2
ACOT4	1	ACOT4
ACOT7	1	ACOT7
ACOT8	1	ACOT8
ACOT9	1	ACOT9
ACOX1	1	ACOX1
ACOX2	1	ACOX2
ACOX3	1	ACOX3
ACOXL-AS1	1	ACOXL-AS1
ACP1	1	ACP1
ACP2	1	ACP2
ACP6	1	ACP6
ACRBP	1	ACRBP
ACSF2	1	ACSF2
ACSF3	1	ACSF3
ACSL1	1	ACSL1
ACSL3	1	ACSL3
ACSL4	1	ACSL4
ACSL5	1	ACSL5
ACSM3	1	ACSM3
ACSS1	1	ACSS1
ACSS2	1	ACSS2
ACSS3	1	ACSS3
ACTA2	1	ACTA2
ACTA2-AS1	1	ACTA2-AS1
ACTB	1	ACTB
ACTC1	1	ACTC1
ACTG1	1	ACTG1
